event,date,region,netplay,version,p1name,p1char1,p1char2,p1char3,p2name,p2char1,p2char2,p2char3,url
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Swiftfox-Dash,PC,CE,N,Elda Taluda,PW,MF,CE,https://youtu.be/ZwEwUBqAdEs?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,WingZero,PS,FI,N,Cloud,VA,FI,DB,https://youtu.be/S2TbOaQmbOA?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,WingZero,PS,FI,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/QNDl4VboUWw?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,dekillsage,FU,CE,N,cR | SonicFox,FU,EL,N,https://youtu.be/LIoDud9jqjc?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,dekillsage,FU,CE,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/2hiAXbJIOyU?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,dekillsage,FU,CE,N,cR | SonicFox,FU,EL,N,https://youtu.be/BTC-w2kVJF0?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
EVO 2015,2015-07-15,North America,0,2E,RK | Dolfinh,MF,SQ,DB,cR | SonicFox,DB,FU,EL,https://youtu.be/xCUn3HEv4fg?t=7m14s
EVO 2015,2015-07-15,North America,0,2E,Mike Z,CE,BB,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/xCUn3HEv4fg?t=13m15s
EVO 2015,2015-07-15,North America,0,2E,Bang Camaro,BW,BB,N,Negus Eyoel,PW,CE,N,https://youtu.be/xCUn3HEv4fg?t=19m37s
EVO 2015,2015-07-15,North America,0,2E,SIG,FU,BB,CE,Remikz,PC,FI,CE,https://youtu.be/xCUn3HEv4fg?t=27m59s
EVO 2015,2015-07-15,North America,0,2E,Bang Camaro,BW,BB,N,Mike Z,CE,BB,N,https://youtu.be/xCUn3HEv4fg?t=33m57s
EVO 2015,2015-07-15,North America,0,2E,SIG,BW,BB,CE,RK | Dolfinh,MF,SQ,DB,https://youtu.be/xCUn3HEv4fg?t=41m33s
EVO 2015,2015-07-15,North America,0,2E,cR | SonicFox,RF,EL,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/xCUn3HEv4fg?t=47m32s
EVO 2015,2015-07-15,North America,0,2E,SIG,BW,BB,CE,Bang Camaro,BW,BB,N,https://youtu.be/xCUn3HEv4fg?t=57m46s
EVO 2015,2015-07-15,North America,0,2E,SIG,FU,BB,CE,Swiftfox-Dash,PC,CE,N,https://youtu.be/xCUn3HEv4fg?t=1h5m30s
EVO 2015,2015-07-15,North America,0,2E,cR | SonicFox,RF,EL,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/xCUn3HEv4fg?t=1h22m34s
Summer Jam 9,2015-08-28,North America,0,2E,PME,MF,FI,N,TameStorm,FU,EL,N,https://youtu.be/yrMIh0tL7Qs?t=1m12s
Summer Jam 9,2015-08-28,North America,0,2E,Pickles,FI,BB,N,Natezer,MF,FU,N,https://youtu.be/yrMIh0tL7Qs?t=7m34s
Summer Jam 9,2015-08-28,North America,0,2E,cR | SonicFox,FU,EL,N,Worldjem,MF,FU,FI,https://youtu.be/yrMIh0tL7Qs?t=13m36s
Summer Jam 9,2015-08-28,North America,0,2E,keninblack,DB,PS,N,PME,MF,FI,N,https://youtu.be/Nl2imbNoAe4?t=29s
Summer Jam 9,2015-08-28,North America,0,2E,LazyDiablos,EL,MF,N,WarpedEcho,PW,BB,N,https://youtu.be/Nl2imbNoAe4?t=10m55s
Summer Jam 9,2015-08-28,North America,0,2E,Outlaw_Spike,VA,N,N,Winnie,RF,FI,DB,https://youtu.be/Nl2imbNoAe4?t=17m37s
